dataset,method,dataset_size,f1,accuracy,tn,fp,fn,tp,strategy,T,pool_size,best_k,time_elapsed,seed,avg_ruleset_len,avg_rule_len
TTT,FindRsClassifier,0.5,1.0,1.0,171,0,0,308,bp,1,1,-1,0.12000346183776855,5,8,3.0

TTT,FindRsClassifier,0.5,1.0,1.0,167,0,0,312,bp,1,1,-1,0.12100625038146973,6,8,3.0

TTT,FindRsClassifier,0.5,1.0,1.0,174,0,0,305,bp,1,1,-1,0.1349947452545166,7,8,3.0

TTT,FindRsClassifier,0.5,1.0,1.0,172,0,0,307,bp,1,1,-1,0.13424372673034668,8,8,3.0

TTT,FindRsClassifier,0.5,1.0,1.0,160,0,0,319,bp,1,1,-1,0.10899662971496582,9,8,3.0

TTT,FindRsClassifier,0.33,1.0,1.0,225,0,0,417,bp,1,1,-1,0.08096551895141602,0,8,3.0

TTT,FindRsClassifier,0.33,1.0,1.0,224,0,0,418,bp,1,1,-1,0.07138967514038086,1,8,3.0

TTT,FindRsClassifier,0.33,1.0,1.0,218,0,0,424,bp,1,1,-1,0.08004212379455566,2,8,3.0

TTT,FindRsClassifier,0.33,1.0,1.0,212,0,0,430,bp,1,1,-1,0.06099891662597656,3,8,3.0

TTT,FindRsClassifier,0.33,1.0,1.0,228,0,0,414,bp,1,1,-1,0.06299901008605957,4,8,3.0

TTT,FindRsClassifier,0.33,1.0,1.0,224,0,0,418,bp,1,1,-1,0.08700275421142578,5,8,3.0

TTT,FindRsClassifier,0.33,1.0,1.0,220,0,0,422,bp,1,1,-1,0.08499979972839355,6,8,3.0

TTT,FindRsClassifier,0.33,1.0,1.0,217,0,0,425,bp,1,1,-1,0.08095836639404297,7,8,3.0

TTT,FindRsClassifier,0.33,1.0,1.0,233,0,0,409,bp,1,1,-1,0.07103872299194336,8,8,3.0

TTT,FindRsClassifier,0.33,1.0,1.0,219,0,0,423,bp,1,1,-1,0.07799983024597168,9,8,3.0

TTT,FindRsClassifier,0.25,1.0,1.0,254,0,0,464,bp,1,1,-1,0.051996469497680664,0,8,3.0

TTT,FindRsClassifier,0.25,1.0,1.0,247,0,0,471,bp,1,1,-1,0.047998666763305664,1,8,3.0

TTT,FindRsClassifier,0.25,1.0,1.0,242,0,0,476,bp,1,1,-1,0.053999900817871094,2,8,3.0

TTT,FindRsClassifier,0.25,1.0,1.0,241,0,0,477,bp,1,1,-1,0.05000138282775879,3,8,3.0

TTT,FindRsClassifier,0.25,0.9602649006622516,0.9498607242339833,247,7,29,435,bp,1,1,-1,0.04699850082397461,4,9,3.111111111111111

TTT,FindRsClassifier,0.25,1.0,1.0,248,0,0,470,bp,1,1,-1,0.05001258850097656,5,8,3.0

TTT,FindRsClassifier,0.25,0.9777777777777779,0.9707520891364902,235,15,6,462,bp,1,1,-1,0.05198836326599121,6,10,3.1

TTT,FindRsClassifier,0.25,1.0,1.0,249,0,0,469,bp,1,1,-1,0.05596160888671875,7,8,3.0

TTT,FindRsClassifier,0.25,1.0,1.0,259,0,0,459,bp,1,1,-1,0.062039852142333984,8,8,3.0

TTT,FindRsClassifier,0.25,1.0,1.0,247,0,0,471,bp,1,1,-1,0.056997060775756836,9,8,3.0

MUSH,FindRsClassifier,0.5,1.0,1.0,1973,0,0,2089,bp,1,1,-1,5.482163429260254,0,7,10.428571428571429

MUSH,FindRsClassifier,0.5,1.0,1.0,1969,0,0,2093,bp,1,1,-1,4.866680383682251,1,9,11.777777777777779

MUSH,FindRsClassifier,0.5,1.0,1.0,1899,0,0,2163,bp,1,1,-1,6.650191307067871,2,6,8.333333333333334

MUSH,FindRsClassifier,0.5,1.0,1.0,1950,0,0,2112,bp,1,1,-1,4.7850282192230225,3,6,10.666666666666666

MUSH,FindRsClassifier,0.5,1.0,1.0,1998,0,0,2064,bp,1,1,-1,5.623662948608398,4,6,8.333333333333334

MUSH,FindRsClassifier,0.5,1.0,1.0,1944,0,0,2118,bp,1,1,-1,4.328032493591309,5,6,11.0

MUSH,FindRsClassifier,0.5,1.0,1.0,1974,0,0,2088,bp,1,1,-1,5.211618185043335,6,7,9.428571428571429

MUSH,FindRsClassifier,0.5,1.0,1.0,1971,0,0,2091,bp,1,1,-1,5.2503321170806885,7,7,9.428571428571429

MUSH,FindRsClassifier,0.5,1.0,1.0,1920,0,0,2142,bp,1,1,-1,5.779104471206665,8,6,8.0

MUSH,FindRsClassifier,0.5,1.0,1.0,1943,0,0,2119,bp,1,1,-1,4.597832918167114,9,7,10.285714285714286

MUSH,FindRsClassifier,0.33,1.0,1.0,2644,0,0,2799,bp,1,1,-1,2.6071817874908447,0,7,9.714285714285714

MUSH,FindRsClassifier,0.33,1.0,1.0,2643,0,0,2800,bp,1,1,-1,1.7884740829467773,1,7,9.714285714285714

MUSH,FindRsClassifier,0.33,1.0,1.0,2566,0,0,2877,bp,1,1,-1,2.4607958793640137,2,7,9.0

MUSH,FindRsClassifier,0.33,1.0,1.0,2619,0,0,2824,bp,1,1,-1,2.2986929416656494,3,5,10.2

MUSH,FindRsClassifier,0.33,1.0,1.0,2620,0,0,2823,bp,1,1,-1,2.249533176422119,4,6,8.5

MUSH,FindRsClassifier,0.33,1.0,1.0,2598,0,0,2845,bp,1,1,-1,2.2648043632507324,5,7,10.571428571428571

MUSH,FindRsClassifier,0.33,1.0,1.0,2632,0,0,2811,bp,1,1,-1,2.489119052886963,6,7,10.285714285714286

MUSH,FindRsClassifier,0.33,1.0,1.0,2640,0,0,2803,bp,1,1,-1,2.3679988384246826,7,8,9.125

MUSH,FindRsClassifier,0.33,1.0,1.0,2615,0,0,2828,bp,1,1,-1,2.6046290397644043,8,6,9.5

MUSH,FindRsClassifier,0.33,1.0,1.0,2610,0,0,2833,bp,1,1,-1,2.2855160236358643,9,6,9.166666666666666

MUSH,FindRsClassifier,0.25,0.9961661341853035,0.9960610536681438,2951,0,24,3118,bp,1,1,-1,1.2756032943725586,0,7,10.571428571428571

MUSH,FindRsClassifier,0.25,1.0,1.0,2950,0,0,3143,bp,1,1,-1,1.1335508823394775,1,6,10.333333333333334

MUSH,FindRsClassifier,0.25,0.999375,0.9993435089446906,2891,4,0,3198,bp,1,1,-1,1.3460392951965332,2,10,12.1

MUSH,FindRsClassifier,0.25,1.0,1.0,2922,0,0,3171,bp,1,1,-1,1.4765713214874268,3,7,9.428571428571429

MUSH,FindRsClassifier,0.25,0.9996831432192649,0.9996717544723454,2936,2,0,3155,bp,1,1,-1,1.4183495044708252,4,8,9.5

